,LT,abs,rel
45170,0,143.527000944,104.880884817
45171,1,28.2842712475,23.0940107676
45175,1,44.72135955,43.9696865276
45176,1,74.8331477355,73.029674334
45181,0,116.189500386,115.542200083
45182,0,110.0,96.3500562186
45183,0,110.905365064,104.642247682
45185,1,28.2842712475,23.0940107676
45188,0,93.8083151965,87.9393730552
45190,0,69.2820323028,67.3300329224
45192,1,28.2842712475,28.2842712475
45194,0,74.8331477355,73.029674334
45197,1,104.403065089,104.323215697
45198,0,143.527000944,137.598449604
45199,1,87.1779788708,85.6348838578
45202,0,56.5685424949,56.5685424949
45203,1,78.7400787401,71.6472842007
45204,1,99.4987437107,99.41495528
45208,1,48.9897948557,48.9897948557
45209,0,44.72135955,37.4165738677
45215,0,118.321595662,107.703296143
45216,1,120.830459736,110.453610172
45217,1,98.9949493661,93.4523051258
45218,1,34.6410161514,33.6650164612
45219,0,34.6410161514,33.6650164612
45220,1,115.758369028,114.600756251
45221,0,149.666295471,147.648230602
45224,1,128.840987267,119.163752878
45225,0,125.6980509,115.758369028
45228,0,65.574385243,54.313902456
45229,1,34.6410161514,24.4948974278
45232,1,76.1577310586,72.1110255093
45233,0,125.299640861,104.323215697
45234,0,130.0,128.387434484
45237,1,173.78147197,28.2842712475
45238,1,60.0,59.4418483338
45239,1,60.0,59.4418483338
45242,0,109.544511501,93.4523051258
45243,1,56.5685424949,56.5685424949
45244,1,28.2842712475,23.0940107676
45246,1,60.0,43.9696865276
45247,0,72.1110255093,59.4418483338
45251,1,77.4596669241,73.4846922835
45252,1,28.2842712475,23.0940107676
45254,0,128.840987267,99.6661092515
45256,1,114.891252931,88.3176086633
45257,0,113.13708499,86.0232526704
45258,1,133.790881603,43.3973885543
45259,1,60.0,54.7722557505
45262,0,60.0,59.4418483338
45263,1,136.747943312,68.4348838922
45265,1,111.803398875,111.130553854
45266,0,110.905365064,104.642247682
45267,1,74.8331477355,73.029674334
45268,1,52.9150262213,52.2812904712
45269,1,104.880884817,96.6091783079
45270,0,127.279220614,123.017613915
45271,0,124.49899598,116.117756322
45272,0,141.421356237,137.598449604
45275,0,161.245154966,113.724814062
45276,1,86.0232526704,75.718777944
45278,0,28.2842712475,23.0940107676
45279,1,84.8528137424,83.2666399786
45281,1,66.3324958071,65.8280588604
45283,1,44.72135955,43.9696865276
45285,1,28.2842712475,28.2842712475
45286,1,56.5685424949,46.1880215352
45287,0,138.924439894,102.388150356
45288,0,80.0,80.0
45289,0,117.898261226,116.117756322
45291,0,44.72135955,43.9696865276
45292,1,77.4596669241,65.8280588604
45297,0,143.527000944,131.656117721
45299,0,146.628782986,146.116391962
45301,1,132.664991614,110.453610172
45304,0,56.5685424949,46.1880215352
45305,0,133.041346957,125.233115961
45307,1,34.6410161514,24.4948974278
45310,1,34.6410161514,24.4948974278
45311,1,133.041346957,60.6904715201
45313,1,28.2842712475,23.0940107676
45314,0,132.287565553,117.260393996
45316,0,147.648230602,146.742404687
45317,1,92.1954445729,89.9073597284
45319,1,120.0,109.544511501
45320,0,52.9150262213,52.2812904712
45323,0,77.4596669241,77.0281333886
45325,0,102.95630141,97.6387901058
45326,1,44.72135955,43.9696865276
45327,1,95.9166304663,50.3322295685
45328,1,52.9150262213,46.9041575982
45331,1,112.694276696,112.620306044
45332,1,28.2842712475,23.0940107676
45338,1,72.1110255093,43.9696865276
45341,0,72.1110255093,71.6472842007
45342,1,69.2820323028,67.3300329224
45343,1,40.0,36.514837167
45344,0,80.0,73.029674334
45346,0,66.3324958071,52.2812904712
45348,1,34.6410161514,24.4948974278
45354,0,111.355287257,106.458129484
45356,1,28.2842712475,23.0940107676
45359,0,112.249721603,84.8528137424
45362,1,113.13708499,110.453610172
45366,1,117.473401245,75.718777944
45370,0,28.2842712475,23.0940107676
45373,1,100.995049384,77.0281333886
45374,1,91.1043357914,90.2773504263
45375,0,56.5685424949,56.5685424949
45377,0,150.996688705,148.996644258
45378,0,142.828568571,130.89435944
45379,0,122.065556157,116.404467268
45380,0,56.5685424949,56.5685424949
45381,1,60.0,59.4418483338
45382,0,115.758369028,100.664459137
45383,0,120.415945788,120.346721324
45384,1,52.9150262213,46.9041575982
45387,1,127.279220614,113.724814062
45388,0,60.0,59.4418483338
45392,0,138.924439894,128.387434484
45394,0,84.2614977318,84.162541153
45396,0,79.3725393319,70.3562363974
45397,0,153.297097168,132.224556469
45398,0,60.0,43.9696865276
45401,0,132.287565553,59.0197706988
45405,0,132.287565553,121.174804862
45406,1,95.3939201417,88.0340843083
45409,0,66.3324958071,61.6441400297
45410,0,143.874945699,136.686990359
45411,0,93.8083151965,93.4523051258
45412,0,93.8083151965,84.4590630621
45416,0,154.596248337,141.950695666
45417,1,40.0,36.514837167
45418,0,117.046999107,116.975780969
45422,1,40.0,23.0940107676
45425,0,28.2842712475,23.0940107676
45426,0,90.0,65.9545297914
45427,0,40.0,40.0
45435,1,104.880884817,103.601801786
45437,1,126.885775404,62.8490254499
45438,1,69.2820323028,67.3300329224
45439,1,44.72135955,43.9696865276
45440,0,28.2842712475,23.0940107676
45441,1,28.2842712475,28.2842712475
45442,0,69.2820323028,67.3300329224
45444,0,113.13708499,86.0232526704
45448,0,131.52946438,82.965856431
45452,1,44.72135955,37.4165738677
45457,1,69.2820323028,48.9897948557
45460,0,110.905365064,109.010702838
45462,0,114.01754251,111.355287257
45463,0,116.189500386,103.360211558
45466,0,113.13708499,108.320512062
45471,0,98.488578018,69.8808509775
45472,0,52.9150262213,52.2812904712
45475,1,56.5685424949,54.1602560309
45476,1,34.6410161514,33.6650164612
45478,0,145.945195193,144.51066858
45479,0,117.473401245,106.77078252
45480,0,132.664991614,123.288280059
45481,1,28.2842712475,28.2842712475
45482,0,74.8331477355,74.8331477355
45483,0,162.172747402,160.882980248
45487,1,28.2842712475,23.0940107676
45489,0,148.996644258,137.598449604
45490,0,142.126704036,140.0
45493,0,56.5685424949,46.1880215352
45497,1,82.4621125124,59.4418483338
45499,0,66.3324958071,65.8280588604
45503,1,77.4596669241,73.4846922835
45504,1,66.3324958071,65.8280588604
45505,0,48.9897948557,48.9897948557
45506,0,120.830459736,120.554275467
45507,0,137.840487521,135.646599663
45510,0,118.321595662,111.05554166
45514,1,69.2820323028,48.9897948557
45519,0,133.416640641,132.413493774
45520,0,160.623784042,152.970585408
45521,1,66.3324958071,33.6650164612
45524,0,124.49899598,90.2773504263
45525,1,77.4596669241,65.8280588604
45527,1,156.204993518,52.9150262213
45528,0,91.1043357914,83.3666600027
45531,0,114.891252931,110.151410946
45533,1,28.2842712475,28.2842712475
45535,0,28.2842712475,28.2842712475
45537,0,66.3324958071,65.8280588604
45538,0,69.2820323028,48.9897948557
45540,0,44.72135955,37.4165738677
45542,0,90.5538513814,87.1779788708
45544,1,44.72135955,37.4165738677
45546,0,150.665191733,129.163978467
45548,1,28.2842712475,28.2842712475
45549,0,98.9949493661,98.6576572463
45553,0,144.913767462,119.721899974
45554,0,140.0,127.801930085
45558,1,40.0,36.514837167
45564,1,28.2842712475,28.2842712475
